movie_name,release_date
刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【後篇】,2024/06/02
明天我就不幹了！,2024/06/03
絕地戰警：生死與共,2024/06/05
窺探者,2024/06/06
超完美暗殺隊,2024/06/07
加菲貓：農場大冒險,2024/06/07
鬼咧號,2024/06/07
星之聲,2024/06/07
春畫先生,2024/06/07
睏寐之際,2024/06/07
腦筋急轉彎2,2024/06/13
屍油降,2024/06/14
逃出狂鯊島,2024/06/14
鬼氣球,2024/06/14
宮殿大飯店,2024/06/14
承諾大海的老師,2024/06/14
完美配對謀殺案,2024/06/14
托芙的房間,2024/06/14
孤獨搖滾！團結Band LIVE-恆星-,2024/06/15
黑水巷,2024/06/18
客人主人,2024/06/19
亡命機劫,2024/06/21
媽的人生願望,2024/06/21
金孫爆富攻略,2024/06/21
分期付款愛上你,2024/06/21
全個世界都有電話,2024/06/21
救援生死線,2024/06/21
萬事通大全,2024/06/21
紅色房間,2024/06/21
雲之彼端，約定的地方,2024/06/21
麥可傑克森：未來的未來演唱會電影,2024/06/25
噤界：入侵日,2024/06/26
60分鐘亡命直播,2024/06/28
金髮毒藥,2024/06/28
鬼厄犬,2024/06/28
忙愛不如盲婚,2024/06/28
超級殺,2024/06/28
瑪麗亞‧蒙特梭利,2024/06/28
名偵探柯南 100萬美元的五稜星,2024/06/28
破浪男女,2024/06/28
角落小夥伴電影版：奇幻的玩具工廠,2024/06/29
神偷奶爸 4,2024/07/03
異國日記,2024/07/03
找死凶宅,2024/07/05
彼此的日子 In Our Day,2024/07/05
56種喝采,2024/07/05
教宗家的小兒子,2024/07/05
猛鬼聲泣泣,2024/07/05
海關戰線,2024/07/05
秒速5公分,2024/07/05
荒蕪之地．應許之心,2024/07/05
我想和你在一起,2024/07/05
飛月情海,2024/07/10
DDDD惡魔的破壞 前編,2024/07/10
好人赫德（英國國家劇院現場）,2024/07/11
鳥,2024/07/12
長腿,2024/07/12
電影哆啦A夢：大雄的地球交響樂,2024/07/12
劇場版 藍色監獄 -EPISODE 凪-,2024/07/12
愛的噩夢,2024/07/12
前途海量,2024/07/12
血繼,2024/07/14
凡尼亞（英國國家劇院現場）,2024/07/16
寂噤計畫,2024/07/17
龍捲風暴,2024/07/17
時髦女子,2024/07/19
人道主義吸血鬼徵求自願獻身者,2024/07/19
在那開滿花的山丘，我想見到妳,2024/07/19
嘎啦,2024/07/19
阿姨，上學囉！,2024/07/19
大室家-親愛的朋友,2024/07/20
人類之巔3,2024/07/22
驀然回首,2024/07/22
激情年代（英國國家劇院現場）,2024/07/23
塔羅牌,2024/07/24
死侍與金鋼狼,2024/07/24
DDDD惡魔的破壞 後編,2024/07/24
她們的盛夏微愛,2024/07/26
劇場總集篇 孤獨搖滾！Re:,2024/07/26
四月，她將到來。,2024/07/26
追逐繁星的孩子,2024/07/26
不死戀人,2024/07/26
大室家-親愛的姊妹,2024/07/26
新封神榜：楊戩,2024/07/26
熊貓大冒險,2024/07/28
致英格蘭（英國國家劇院現場）,2024/07/30
BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,2024/07/31
圈套,2024/08/01
絕地逃生,2024/08/02
怨泊,2024/08/02
不羈騎士,2024/08/02
農民：愛慾情謎,2024/08/02
熱血搜救隊：翻轉世界,2024/08/02
劇場版 賽馬娘Pretty Derby：新時代之門,2024/08/02
電影版屁屁偵探：再見親愛的夥伴，屁屁啊,2024/08/02
夏日的檸檬草,2024/08/02
我父英風,2024/08/02
失速芭蕾,2024/08/05
怪奇家族,2024/08/07
鬼才之道,2024/08/07
OZONE 青春冒險,2024/08/07
九命貓的奇幻旅程,2024/08/08
情慾出走的女人,2024/08/09
邊緣禁地,2024/08/09
狗狗歌劇院(中配版),2024/08/09
言葉之庭,2024/08/09
森之聲：猩火燎原,2024/08/11
異形：羅穆路斯,2024/08/14
暹羅詛咒,2024/08/16
天生女王,2024/08/16
狸太怨,2024/08/16
電影蠟筆小新：我們的恐龍日記,2024/08/16
最後一擊,2024/08/16
角頭-大橋頭,2024/08/16
戀戀風塵（數位修復版）,2024/08/17
自白,2024/08/19
SEVENTEEN TOUR 'FOLLOW' AGAIN TO CINEMAS,2024/08/21
派對咖孔明 Road to Summer Sonia,2024/08/21
求救眨眨眼,2024/08/22
變身機長,2024/08/23
跳越時空的愛戀,2024/08/23
催眠,2024/08/23
到我們為止,2024/08/23
末日倒數12小時,2024/08/23
誰殺了比利比莉,2024/08/23
刀劍亂舞 迴 -旋傳 親近的侍從們-,2024/08/25
XIA CONCERT MOVIE CHAPTER 1：RECREATION,2024/08/30
我們還有明天,2024/08/30
哈囉！萌鬼屋,2024/08/30
龍族戰神：重生,2024/08/30
國有器官,2024/08/30
詭異之家,2024/08/30
其後,2024/08/30
藍色假期,2024/08/30
愛情城事,2024/08/30
滿七,2024/08/30
宛如阿修羅,2024/08/31
家族遊戲,2024/08/31
廚房,2024/08/31
如此這般,2024/08/31
春天情書,2024/09/01
未來的回憶,2024/09/01
黑暗之家,2024/09/01
我來買單,2024/09/02
小孩不笨3,2024/09/03
不思議女人,2024/09/03
我的夏日旅行,2024/09/03
陰間大法師 BEETLEJUICE,2024/09/05
aespa: MY First page,2024/09/06
湄公河水鬼,2024/09/06
猛鬼大學：邪無止禁,2024/09/06
巴黎頌紐約情,2024/09/06
導演你有病,2024/09/06
穿著旗袍的女孩,2024/09/06
200%小狼人,2024/09/07
三日月和貓,2024/09/11
鬼花園 : 詛咒,2024/09/13
警賊黑白衝,2024/09/13
流浪吉普賽,2024/09/13
荒野心家園,2024/09/13
變形金剛：源起,2024/09/13
邪惡勿語,2024/09/13
超完美家政婦,2024/09/13
你的名字。,2024/09/13
老師的善意謊言,2024/09/13
恐怖份子（數位修復版）,2024/09/14
JUNG KOOK: I AM STILL,2024/09/18
首爾單身日記,2024/09/20
流氓驅魔師,2024/09/20
屍控戰場,2024/09/20
惡業,2024/09/20
可恨的初戀！,2024/09/20
歡迎菜老師,2024/09/20
魔女荷莉,2024/09/20
我的英雄學院劇場版：You’re Next,2024/09/20
我心裡的太陽,2024/09/20
我的一夜騎士,2024/09/20
我變笨了，請多多指教：媽媽 歡迎回來,2024/09/20
種土,2024/09/20
台北追緝令,2024/09/25
《劇場版 SUPER WINGS：究極加速》,2024/09/27
那年夏天，想見妳,2024/09/27
薩滿男孩,2024/09/27
千萬別放手,2024/09/27
超時空愛殺,2024/09/27
薇娜：死後七日,2024/09/27
在大雪封閉的山莊裡,2024/09/27
不朽之櫻,2024/09/27
雪水消融的季節,2024/09/27
台北十日,2024/09/27
武替道,2024/09/30
血色之路,2024/10/01
小丑：雙重瘋狂,2024/10/02
再見，福寶,2024/10/04
當我的指尖觸碰到你的溫度時,2024/10/04
飛鳥總動員,2024/10/04
布勒合唱團：直到盡頭,2024/10/04
地獄怪客：歪曲人的詛咒,2024/10/04
