id,name,release_date
225,朦朧的慾望,2024/05/26
226,柏格曼的幽靈,2024/05/27
227,馬奎斯如何成為馬奎斯,2024/05/27
228,泯滅天使,2024/05/28
229,安達魯之犬,2024/05/29
230,自由的幻影,2024/05/30
231,波紋,2024/05/30
232,她死了,2024/05/31
233,嗜殺路人甲,2024/05/31
234,當殺手戀愛時,2024/05/31
235,怒火狂猴,2024/05/31
236,失憶殺神,2024/05/31
237,那日清晨真令人感到空虛,2024/05/31
238,八戒,2024/05/31
239,環南時候,2024/05/31
240,中產階級拘謹的魅力,2024/06/01
241,維莉狄雅娜,2024/06/02
242,刀劍亂舞 迴 -虛傳 燃燒的本能寺- 【後篇】,2024/06/02
243,明天我就不幹了！,2024/06/03
244,絕地戰警：生死與共,2024/06/05
245,窺探者,2024/06/06
246,超完美暗殺隊,2024/06/07
247,加菲貓：農場大冒險,2024/06/07
248,鬼咧號,2024/06/07
249,星之聲,2024/06/07
250,春畫先生,2024/06/07
251,睏寐之際,2024/06/07
252,腦筋急轉彎2,2024/06/13
253,屍油降,2024/06/14
254,逃出狂鯊島,2024/06/14
255,鬼氣球,2024/06/14
256,宮殿大飯店,2024/06/14
257,承諾大海的老師,2024/06/14
258,完美配對謀殺案,2024/06/14
259,托芙的房間,2024/06/14
260,孤獨搖滾！團結Band LIVE-恆星-,2024/06/15
261,黑水巷,2024/06/18
262,客人主人,2024/06/19
263,亡命機劫,2024/06/21
264,媽的人生願望,2024/06/21
265,金孫爆富攻略,2024/06/21
266,分期付款愛上你,2024/06/21
267,全個世界都有電話,2024/06/21
268,救援生死線,2024/06/21
269,萬事通大全,2024/06/21
270,紅色房間,2024/06/21
271,雲之彼端，約定的地方,2024/06/21
272,麥可傑克森：未來的未來演唱會電影,2024/06/25
273,噤界：入侵日,2024/06/26
274,60分鐘亡命直播,2024/06/28
275,金髮毒藥,2024/06/28
276,鬼厄犬,2024/06/28
277,忙愛不如盲婚,2024/06/28
278,超級殺,2024/06/28
279,瑪麗亞‧蒙特梭利,2024/06/28
280,名偵探柯南 100萬美元的五稜星,2024/06/28
281,破浪男女,2024/06/28
282,角落小夥伴電影版：奇幻的玩具工廠,2024/06/29
283,神偷奶爸 4,2024/07/03
284,異國日記,2024/07/03
285,找死凶宅,2024/07/05
286,彼此的日子 In Our Day,2024/07/05
287,56種喝采,2024/07/05
288,教宗家的小兒子,2024/07/05
289,猛鬼聲泣泣,2024/07/05
290,海關戰線,2024/07/05
291,秒速5公分,2024/07/05
292,荒蕪之地．應許之心,2024/07/05
293,我想和你在一起,2024/07/05
294,飛月情海,2024/07/10
295,DDDD惡魔的破壞 前編,2024/07/10
296,好人赫德（英國國家劇院現場）,2024/07/11
297,鳥,2024/07/12
298,長腿,2024/07/12
299,電影哆啦A夢：大雄的地球交響樂,2024/07/12
300,劇場版 藍色監獄 -EPISODE 凪-,2024/07/12
301,愛的噩夢,2024/07/12
302,前途海量,2024/07/12
303,血繼,2024/07/14
304,凡尼亞（英國國家劇院現場）,2024/07/16
305,寂噤計畫,2024/07/17
306,龍捲風暴,2024/07/17
307,時髦女子,2024/07/19
308,人道主義吸血鬼徵求自願獻身者,2024/07/19
309,在那開滿花的山丘，我想見到妳,2024/07/19
310,嘎啦,2024/07/19
311,阿姨，上學囉！,2024/07/19
312,大室家-親愛的朋友,2024/07/20
313,人類之巔3,2024/07/22
314,驀然回首,2024/07/22
315,激情年代（英國國家劇院現場）,2024/07/23
316,塔羅牌,2024/07/24
317,死侍與金鋼狼,2024/07/24
318,DDDD惡魔的破壞 後編,2024/07/24
319,她們的盛夏微愛,2024/07/26
320,劇場總集篇 孤獨搖滾！Re:,2024/07/26
321,四月，她將到來。,2024/07/26
322,追逐繁星的孩子,2024/07/26
323,不死戀人,2024/07/26
324,大室家-親愛的姊妹,2024/07/26
325,新封神榜：楊戩,2024/07/26
326,熊貓大冒險,2024/07/28
327,致英格蘭（英國國家劇院現場）,2024/07/30
328,BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,2024/07/31
329,圈套,2024/08/01
330,絕地逃生,2024/08/02
331,怨泊,2024/08/02
332,不羈騎士,2024/08/02
333,農民：愛慾情謎,2024/08/02
334,熱血搜救隊：翻轉世界,2024/08/02
335,劇場版 賽馬娘Pretty Derby：新時代之門,2024/08/02
336,電影版屁屁偵探：再見親愛的夥伴，屁屁啊,2024/08/02
