序號,國別,片名,上映日,出品,院數,總日數,總金額,總票數,首週票房,週末總票房
1653,美國,一級玩家,2018/03/29,WARNER BROS. PICTURES INTERNATIONAL.,105,172,362358773.0000,1416934,124862655.0000,210540597.0000
1654,美國,哥吉拉大戰金剛,2021/03/24,美國 WARNER BROS. PICTURES INTERNATIONAL.,104,141,358028088.0000,1400197,174856783.0000,224363174.0000
1655,美國,玩命關頭 X,2023/05/17,UNIVERSAL INTERNATIONAL FILMS LLC,106,143,355167929.0000,1336923,142931738.0000,224515194.0000
1656,美國,TENET天能,2020/08/27,WARNER BROS. PICTURES INTERNATIONAL.,109,174,349848005.0000,1388540,118080249.0000,225434445.0000
1657,美國,冰雪奇緣2 (英文版),2019/11/21,BUENA VISTA INTERNATIONAL  INC.,115,188,343922018.0000,1454118,125836935.0000,255601674.0000
1658,美國,侏羅紀世界: 統霸天下,2022/06/08,UNIVERSAL INTERNATIONAL FILMS LLC,102,136,334165457.0000,1278551,143825320.0000,209676815.0000
1659,美國,金牌特務：機密對決,2017/09/20,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,105,109,334099130.0000,1407013,165051551.0000,190812583.0000
1660,美國,神力女超人(數位2D版),2017/05/30,WARNER BROS. PICTURES INTERNATIONAL.,103,155,333171557.0000,1405577,140312071.0000,180457539.0000
1661,美國,小丑,2019/10/03,WARNER BROS. PICTURES INTERNATIONAL.,115,142,332655822.0000,1393678,133074037.0000,198558545.0000
1662,美國,雷神索爾3：諸神黃昏,2017/10/24,BUENA VISTA INTERNATIONAL INC.,105,136,315081464.0000,1335107,167565619.0000,195128320.0000
1663,美國,獅子王,2019/07/17,BUENA VISTA INTERNATIONAL  INC.,112,187,314948562.0000,1320356,142729102.0000,196357348.0000
1664,美國,玩具總動員 4,2019/06/20,BUENA VISTA INTERNATIONAL  INC.,109,176,312715035.0000,1347740,110220601.0000,205516113.0000
1665,美國,怪獸與牠們的產地(數位2D版),2016/11/17,WARNER BROS. PICTURES INTERNATIONAL.,104,141,309461461.0000,1261927,134174519.0000,204871524.0000
1666,美國,奇異博士 (數位2D版),2016/10/25,BUENA VISTA INTERNATIONAL INC.,99,123,301530089.0000,1207450,151074003.0000,177149778.0000
1667,美國,死侍與金鋼狼,2024/07/24,BUENA VISTA INTERNATIONAL  INC.,98,97,301085499.0000,1058880,124279156.0000,185199957.0000
1668,美國,自殺突擊隊(數位2D版),2016/08/04,WARNER BROS.PICTURES INTERNATIONAL.,102,119,299191054.0000,1231362,153383757.0000,173498573.0000
1669,美國,蟻人與黃蜂女,2018/07/04,BUENA VISTA INTERNATIONAL INC.,106,115,297169899.0000,1271911,163634003.0000,171113837.0000
1670,美國,超級瑪利歐兄弟電影版,2023/04/07,UNIVERSAL INTERNATIONAL FILMS LLC,106,160,295460684.0000,1171686,98007741.0000,211038461.0000
