序號,國別,片名,上映日,出品,院數,總日數,總金額,總票數,首週票房,週末總票房
2757,美國,吾愛吾詩,2019/05/24,PROTAGONIST PICTURES LIMITED,8,27,155215.0000,784,113780.0000,88650.0000
2758,美國,Cunningham 機遇之舞,2020/01/10,Dogwoof Ltd,10,14,151853.0000,712,110448.0000,77443.0000
2759,美國,神秘肌膚,2018/10/05,(法國)MK2 FILMS,7,14,150435.0000,728,119145.0000,85945.0000
2760,美國,絕魂夜,2017/04/21,ARCHSTONE DISTRIBUTION LLC,2,22,148280.0000,688,97365.0000,97115.0000
2761,美國,帕華洛帝：世紀男高音,2020/04/30,POLYGRAM ENTERTAINMENT  LLC,18,21,145567.0000,717,84890.0000,61767.0000
2762,美國,哈利本森：大攝影家,2017/05/19,MAGNOLIA PICTURES LLC,5,14,143780.0000,664,100680.0000,86380.0000
2763,美國,投機者樂團：愛的鼓勵,2022/04/08,Vision Film Inc,10,26,143340.0000,636,115755.0000,76120.0000
2764,美國,飢餓遊戲：自由幻夢 終結戰,2023/11/10,RELAY MOTION KFT.,16,24,142656.0000,645,47096.0000,63126.0000
2765,美國,非法999,2016/04/01,PANORAMA MEDIA LLC,4,31,141160.0000,1410,29930.0000,75300.0000
2766,美國,《樂隊舞台》——男孩們回來了（音樂劇）,2023/04/18,Broadway on Demand,6,7,139400.0000,210,139400.0000,79040.0000
2767,美國,過去那五年（音樂劇）,2023/04/06, Broadway on Demand,6,9,139030.0000,208,97990.0000,73280.0000
2768,美國,隱形情人,2019/07/12,FREEWAY ENTERTAINMENT KFT.,4,12,134764.0000,557,133574.0000,77874.0000
2769,美國,反擊,2012/01/20,ELECTRIC DISTRIBUTION INC.,5,30,134720.0000,1774,26850.0000,81830.0000
2770,美國,布吉闖籃關,2021/05/07,UNIVERSAL INTERNATIONAL FILMS LLC,23,12,132306.0000,566,128534.0000,92170.0000
2771,美國,樹懶殺三小,2023/11/03,Gravitas Ventures  LLC,30,19,130633.0000,541,114102.0000,68958.0000
2772,美國,終極狩獵團,2022/01/14,RELAY MOTION KFT.,19,14,129734.0000,563,119250.0000,87370.0000
2773,美國,公共圖書館員,2022/05/20,CAPSTONE GLOBAL CORP,8,17,129587.0000,584,113267.0000,97247.0000
2774,美國,越戰獵鹿人,2017/11/06,(英國)STUDIOCANAL LTD,4,24,129550.0000,593,25315.0000,78880.0000
2775,美國,日出日落：屋頂上的提琴手,2023/01/27,Hedva Goldschmidt - Go2Films,10,14,129485.0000,619,109020.0000,80155.0000
2776,美國,追魂公寓,2019/02/22,GEM ENTERTAINMENT  KFT.,6,17,127975.0000,609,106040.0000,95080.0000
2777,美國,#滑板少女,2018/12/21,(法國)CHARADES,8,21,127855.0000,552,77485.0000,68695.0000
2778,美國,BILLIE EILISH: LIVE AT THE O2 （戲院加長版）,2023/01/27,Trafalgar Releasing Ltd.,6,1,127675.0000,272,127675.0000,127675.0000
2779,美國,血仇生死鬥,2023/03/03,RELAY MOTION KFT.,21,13,121219.0000,528,115529.0000,71717.0000
2780,美國,盜夢睡務員,2022/03/25,alief SAS,11,16,120470.0000,524,95211.0000,60262.0000
2781,美國,闇之祭,2023/12/01,Bankside Films Ltd,10,15,118765.0000,453,104786.0000,89255.0000
2782,美國,最後的生存者,2022/05/20,Vertical Entertainment,14,71,117730.0000,913,38275.0000,70534.0000
2783,美國,瘋狂麥斯：憤怒道,2015/05/15,WARNER BROS.(F.E.)INC.,2,11,114000.0000,475,92400.0000,114000.0000
2784,美國,魔鬼剋星2,1989/08/04,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,19,14,111053.0000,461,90494.0000,75833.0000
2785,美國,浪浪伊斯坦堡,2021/11/19,Dogwoof,11,15,110260.0000,561,80965.0000,64900.0000
2786,美國,名模大間諜2,2016/02/26,美國派拉蒙影片公司,6,28,109150.0000,1086,55690.0000,53960.0000
2787,美國,METALLICA & SAN FRANCISCO SYMPHONY: S&M2,2019/10/14,Trafalgar Releasing Limited,6,3,104980.0000,267,104980.0000,0
2788,美國,藥命實驗 ,2019/06/28,OCTANE ENTERTAINMENT  INC.,5,13,104415.0000,456,92485.0000,76280.0000
2789,美國,地獄家政婦,2019/08/23,JINGA FILMS LIMITED,4,14,103282.0000,477,91907.0000,59482.0000
2790,美國,玩具總動員2(數位2D版),2010/04/23,BUENA VISTA INTERNATIONAL INC.,2,60,101810.0000,414,9790.0000,63400.0000
2791,美國,永劫,2018/07/13,(英國) ALLIANCE MEDIA PARTNERS INTERNATIONAL LIMITED,4,12,101765.0000,462,96835.0000,49825.0000
2792,美國,終極堡壘2,2022/10/21,RELAY MOTION KFT.,19,14,101413.0000,453,89552.0000,58433.0000
2793,美國,跨越大西洋的戀人,2021/10/01,ALIEF LLC,10,20,101207.0000,490,66672.0000,51442.0000
2794,美國,劊樂小丑,2024/10/31,EPIC PICTURES GROUP  INC. ,14,13,97865.0000,411,79984.0000,55027.0000
2795,美國,萌友來找碴,2019/08/30,PROLIFIC PICTURES LLC,6,21,96562.0000,440,74572.0000,67202.0000
2796,美國,玩具總動員,2010/06/16,BUENA VISTA INTERNATIONAL INC.,2,58,94280.0000,387,13500.0000,64780.0000
2797,美國,BJ單身日記,2001/04/28,STUDIOCANAL S.A.S.,11,18,91649.0000,395,90724.0000,66754.0000
2798,美國,美國舞孃,2022/07/01,RELAY MOTION KFT.,11,14,90972.0000,460,68722.0000,49627.0000
2799,美國,USSI：勇者無畏,2017/04/21,HANNIBAL CLASSICS INC.,2,32,87970.0000,415,62175.0000,51335.0000
2800,美國,愛瑪（音樂劇）,2023/04/21,Broadway on Demand,6,8,87880.0000,139,86600.0000,51760.0000
2801,美國,飢餓遊戲：星火燎原,2023/10/20,RELAY MOTION KFT.,11,20,87160.0000,360,41789.0000,54900.0000
2802,美國,闇罪無間,2019/03/15,ARCHSTONE DISTRIBUTION LLC,4,14,86790.0000,388,75640.0000,50595.0000
2803,美國,瘋狂理髮師:倫敦首席惡魔剃刀手,2008/01/18,PARK CIRCUS LIMITED,10,24,81676.0000,361,76096.0000,45536.0000
2804,美國,穿在乳頭上的洞,2019/02/01,MFI SAS,4,17,80638.0000,352,48135.0000,46543.0000
2805,美國,姊魅,2020/01/17,RAVEN BANNER ENTERTAINMENT INC.,4,13,80488.0000,366,74058.0000,44028.0000
2806,美國,布拉格的春天,2018/06/01,The Saul Zaentz Company,1,6,79800.0000,425,79800.0000,38440.0000
2807,美國,全新4K修復 小教父 完整導演版,2021/12/03,StudioCanal S.A.S,13,10,78969.0000,356,75129.0000,31139.0000
2808,美國,84那年夏天,2019/05/24,GUNPOWDER 、 SKY DISTRIBUTION  LLC,7,14,78665.0000,358,58545.0000,53570.0000
2809,美國,克里斯汀貝爾之黑暗時刻,2021/10/15,ATRIUM PRODUCTIONS KFT,8,16,78430.0000,342,66680.0000,44350.0000
2810,美國,我的左派老師,2023/07/14,RELAY MOTION KFT.,12,15,75576.0000,354,69486.0000,39443.0000
2811,美國,惡靈弒室,2017/10/20,GLOBAL GENESIS GROUP LLC,3,14,74840.0000,362,51200.0000,44520.0000
2812,美國,與狼共舞,2023/08/04,RELAY MOTION KFT.,11,17,73302.0000,307,56592.0000,36391.0000
2813,美國,玩酷壞痞子,2016/11/04,PREMIERE ENTERTAINMENT GROUP LLC,3,14,73240.0000,364,60720.0000,47410.0000
2814,美國,雙峰：與火同行,2017/09/29,(法國)MK2 FILMS,4,13,72755.0000,323,46945.0000,32375.0000
2815,美國,我不是你的黑鬼,2017/12/15,(法國)WIDE HOUSE,3,13,72165.0000,356,54220.0000,37520.0000
2816,美國,時間之旅,2018/11/23,(法國)WILD BUNCH,4,14,71775.0000,330,60805.0000,34290.0000
2817,美國,異類崛起,2021/09/24,Vertical Entertainment,8,55,71238.0000,550,30063.0000,41468.0000
2818,美國,謎霧莊園,2023/07/07,RELAY MOTION KFT.,11,14,70826.0000,340,57341.0000,36426.0000
